ball_frame,ball_x,ball_y,ball_z,boost,handbrake,jump,pitch,roll,steer,throttle,x,y,yaw,z
55572,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
55574,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
55576,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
55578,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
55580,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
55582,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
55584,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
55586,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
55588,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
55590,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
55592,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
55594,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
55596,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
55597,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
55599,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
55601,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
55603,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
55605,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
55607,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
55609,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
55611,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
55613,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
55615,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
55617,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
55619,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
55621,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.18110236525535583,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
55623,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.4645669162273407,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
55625,-3301.909912109375,5584.10986328125,119.25999450683594,False,False,False,0.0,0.0,0.0,0.6299212574958801,-517.2999877929688,3210.510009765625,0.0,17.059999465942383
55626,-3293.510009765625,5581.52001953125,128.5800018310547,False,False,False,0.0,0.0,0.0,0.7559055089950562,-517.25,3210.599853515625,0.0,17.059999465942383
55628,-3276.719970703125,5576.33984375,147.0699920654297,False,False,False,0.0,0.0,0.0,0.8425197005271912,-517.0299682617188,3210.969970703125,0.0,17.059999465942383
55630,-3259.93994140625,5571.15966796875,165.3699951171875,False,False,False,0.0,0.0,0.0,0.8661417365074158,-516.6499633789062,3211.6298828125,0.0,17.059999465942383
