ball_frame,ball_x,ball_y,ball_z,boost,handbrake,jump,pitch,roll,steer,throttle,x,y,yaw,z
57016,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57018,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57020,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57022,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57024,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57026,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57028,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57030,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57032,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57034,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57036,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57038,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57040,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57042,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57044,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57046,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57047,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57049,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57051,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57053,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57055,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57057,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57059,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57061,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
