ball_frame,ball_x,ball_y,ball_z,boost,handbrake,jump,pitch,roll,steer,throttle,x,y,yaw,z
57839,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57841,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57843,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57845,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57847,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57849,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57851,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57853,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57855,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57856,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57858,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57860,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57862,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
57864,-3318.7099609375,5589.2900390625,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-517.3300170898438,3210.4599609375,0.0,17.059999465942383
