ball_frame,ball_x,ball_y,ball_z,boost,handbrake,jump,pitch,roll,steer,throttle,x,y,yaw,z
469937,-3764.35986328125,-2906.139892578125,100.0,False,False,False,0.0,0.0,0.0,0.0,2738.1298828125,6399.2998046875,0.0,17.059999465942383
469938,-3764.35986328125,-2906.139892578125,100.0,False,False,False,0.0,0.0,0.0,0.0,2738.1298828125,6399.2998046875,0.0,17.059999465942383
469940,-3764.35986328125,-2906.139892578125,100.0,False,False,False,0.0,0.0,0.0,0.0,2738.1298828125,6399.2998046875,0.0,17.059999465942383
469942,-3764.35986328125,-2906.139892578125,100.0,False,False,False,0.0,0.0,0.0,0.0,2738.1298828125,6399.2998046875,0.0,17.059999465942383
469944,-3764.35986328125,-2906.139892578125,100.0,False,False,False,0.0,0.0,0.0,0.0,2738.1298828125,6399.2998046875,0.0,17.059999465942383
469946,-3764.35986328125,-2906.139892578125,100.0,False,False,False,0.0,0.0,0.0,0.0,2738.1298828125,6399.2998046875,0.0,17.059999465942383
469948,-3764.35986328125,-2906.139892578125,100.0,False,False,False,0.0,0.0,0.0,0.0,2738.1298828125,6399.2998046875,0.0,17.059999465942383
469950,-3764.35986328125,-2906.139892578125,100.0,False,False,False,0.0,0.0,0.0,0.0,2738.1298828125,6399.2998046875,0.0,17.059999465942383
469952,-3764.35986328125,-2906.139892578125,100.0,False,False,False,0.0,0.0,0.0,0.0,2738.1298828125,6399.2998046875,0.0,17.059999465942383
469954,-3764.35986328125,-2906.139892578125,100.0,False,False,False,0.0,0.0,0.0,0.0,2738.1298828125,6399.2998046875,0.0,17.059999465942383
469956,-3764.35986328125,-2906.139892578125,100.0,False,False,False,0.0,0.0,0.0,0.0,2738.1298828125,6399.2998046875,0.0,17.059999465942383
469958,-3764.35986328125,-2906.139892578125,100.0,False,False,False,0.0,0.0,0.0,0.0,2738.1298828125,6399.2998046875,0.0,17.059999465942383
469960,-3764.35986328125,-2906.139892578125,100.0,False,False,False,0.0,0.0,0.0,0.0,2738.1298828125,6399.2998046875,0.0,17.059999465942383
469962,-3764.35986328125,-2906.139892578125,100.0,False,False,False,0.0,0.0,0.0,0.0,2738.1298828125,6399.2998046875,0.0,17.059999465942383
469964,-3764.35986328125,-2906.139892578125,100.0,False,False,False,0.0,0.0,0.0,0.0,2738.1298828125,6399.2998046875,0.0,17.059999465942383
469966,-3764.35986328125,-2906.139892578125,100.0,False,False,False,0.0,0.0,0.0,0.0,2738.1298828125,6399.2998046875,0.0,17.059999465942383
469968,-3764.35986328125,-2906.139892578125,100.0,False,False,False,0.0,0.0,0.0,0.0,2738.1298828125,6399.2998046875,0.0,17.059999465942383
