ball_frame,ball_x,ball_y,ball_z,boost,handbrake,jump,pitch,roll,steer,throttle,x,y,yaw,z
169049,-22.18000030517578,6691.35986328125,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-2581.079833984375,2622.9599609375,0.0,17.059999465942383
169050,-22.18000030517578,6691.35986328125,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-2581.079833984375,2622.9599609375,0.0,17.059999465942383
169052,-22.18000030517578,6691.35986328125,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-2581.079833984375,2622.9599609375,0.0,17.059999465942383
169054,-22.18000030517578,6691.35986328125,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-2581.079833984375,2622.9599609375,0.0,17.059999465942383
169056,-22.18000030517578,6691.35986328125,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-2581.079833984375,2622.9599609375,0.0,17.059999465942383
169058,-22.18000030517578,6691.35986328125,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-2581.079833984375,2622.9599609375,0.0,17.059999465942383
169060,-22.18000030517578,6691.35986328125,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-2581.079833984375,2622.9599609375,0.0,17.059999465942383
169062,-22.18000030517578,6691.35986328125,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-2581.079833984375,2622.9599609375,0.0,17.059999465942383
169064,-22.18000030517578,6691.35986328125,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-2581.079833984375,2622.9599609375,0.0,17.059999465942383
169066,-22.18000030517578,6691.35986328125,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-2581.079833984375,2622.9599609375,0.0,17.059999465942383
169068,-22.18000030517578,6691.35986328125,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-2581.079833984375,2622.9599609375,0.0,17.059999465942383
169070,-22.18000030517578,6691.35986328125,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-2581.079833984375,2622.9599609375,0.0,17.059999465942383
169072,-22.18000030517578,6691.35986328125,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-2581.079833984375,2622.9599609375,0.0,17.059999465942383
169074,-22.18000030517578,6691.35986328125,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-2581.079833984375,2622.9599609375,0.0,17.059999465942383
169076,-22.18000030517578,6691.35986328125,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-2581.079833984375,2622.9599609375,0.0,17.059999465942383
169078,-22.18000030517578,6691.35986328125,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-2581.079833984375,2622.9599609375,0.0,17.059999465942383
169080,-22.18000030517578,6691.35986328125,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-2581.079833984375,2622.9599609375,0.0,17.059999465942383
169081,-22.18000030517578,6691.35986328125,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-2581.079833984375,2622.9599609375,0.0,17.059999465942383
169083,-22.18000030517578,6691.35986328125,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-2581.079833984375,2622.9599609375,0.0,17.059999465942383
169085,-22.18000030517578,6691.35986328125,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-2581.079833984375,2622.9599609375,0.0,17.059999465942383
169087,-22.18000030517578,6691.35986328125,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-2581.079833984375,2622.9599609375,0.0,17.059999465942383
169089,-22.18000030517578,6691.35986328125,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-2581.079833984375,2622.9599609375,0.0,17.059999465942383
169091,-22.18000030517578,6691.35986328125,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-2581.079833984375,2622.9599609375,0.0,17.059999465942383
169093,-22.18000030517578,6691.35986328125,100.48999786376953,False,False,False,0.0,0.0,0.0,0.0,-2581.079833984375,2622.9599609375,0.0,17.059999465942383
169095,-22.18000030517578,6691.35986328125,100.48999786376953,False,False,False,0.0,0.0,0.0,0.07874015718698502,-2581.079833984375,2622.9599609375,0.0,17.059999465942383
169097,-22.18000030517578,6691.35986328125,100.48999786376953,False,False,False,0.0,0.0,0.0,0.4409448802471161,-2581.079833984375,2622.9599609375,0.0,17.059999465942383
169099,-23.459999084472656,6658.080078125,99.23999786376953,False,False,False,0.0,0.0,0.0,0.8897637724876404,-2581.030029296875,2622.97998046875,0.0,17.059999465942383
169101,-24.739999771118164,6624.81982421875,97.80999755859375,False,False,False,-0.0078125,0.0,0.0,0.960629940032959,-2580.75,2623.06982421875,0.0,17.059999465942383
169103,-26.01999855041504,6591.580078125,96.19999694824219,False,False,False,-0.0078125,0.0,0.0,0.9685039520263672,-2580.08984375,2623.300048828125,0.0,17.059999465942383
