ball_frame,ball_x,ball_y,ball_z,boost,handbrake,jump,pitch,roll,steer,throttle,x,y,yaw,z
463903,1449.3699951171875,4326.080078125,100.0,False,False,False,0.0,0.0,0.0,0.0,-1201.419921875,2516.33984375,0.0,17.059999465942383
463905,1449.3699951171875,4326.080078125,100.0,False,False,False,0.0,0.0,0.0,0.0,-1201.419921875,2516.33984375,0.0,17.059999465942383
463907,1449.3699951171875,4326.080078125,100.0,False,False,False,0.0,0.0,0.0,0.0,-1201.419921875,2516.33984375,0.0,17.059999465942383
463909,1449.3699951171875,4326.080078125,100.0,False,False,False,0.0,0.0,0.0,0.0,-1201.419921875,2516.33984375,0.0,17.059999465942383
463911,1449.3699951171875,4326.080078125,100.0,False,False,False,0.0,0.0,0.0,0.0,-1201.419921875,2516.33984375,0.0,17.059999465942383
463913,1449.3699951171875,4326.080078125,100.0,False,False,False,0.0,0.0,0.0,0.0,-1201.419921875,2516.33984375,0.0,17.059999465942383
463915,1449.3699951171875,4326.080078125,100.0,False,False,False,0.0,0.0,0.0,0.0,-1201.419921875,2516.33984375,0.0,17.059999465942383
463917,1449.3699951171875,4326.080078125,100.0,False,False,False,0.0,0.0,0.0,0.0,-1201.419921875,2516.33984375,0.0,17.059999465942383
463919,1449.3699951171875,4326.080078125,100.0,False,False,False,0.0,0.0,0.0,0.0,-1201.419921875,2516.33984375,0.0,17.059999465942383
463921,1449.3699951171875,4326.080078125,100.0,False,False,False,0.0,0.0,0.0,0.0,-1201.419921875,2516.33984375,0.0,17.059999465942383
463923,1449.3699951171875,4326.080078125,100.0,False,False,False,0.0,0.0,0.0,0.0,-1201.419921875,2516.33984375,0.0,17.059999465942383
463925,1449.3699951171875,4326.080078125,100.0,False,False,False,0.0,0.0,0.0,0.0,-1201.419921875,2516.33984375,0.0,17.059999465942383
463927,1449.3699951171875,4326.080078125,100.0,False,False,False,0.0,0.0,0.0,0.0,-1201.419921875,2516.33984375,0.0,17.059999465942383
463928,1449.3699951171875,4326.080078125,100.0,False,False,False,0.0,0.0,0.0,0.0,-1201.419921875,2516.33984375,0.0,17.059999465942383
463930,1449.3699951171875,4326.080078125,100.0,False,False,False,0.0,0.0,0.0,0.0,-1201.419921875,2516.33984375,0.0,17.059999465942383
463932,1449.3699951171875,4326.080078125,100.0,False,False,False,0.0,0.0,0.0,0.0,-1201.419921875,2516.33984375,0.0,17.059999465942383
463934,1449.3699951171875,4326.080078125,100.0,False,False,False,0.0,0.0,0.0,0.0,-1201.419921875,2516.33984375,0.0,17.059999465942383
463936,1449.3699951171875,4326.080078125,100.0,False,False,False,0.0,0.0,0.0,0.0,-1201.419921875,2516.33984375,0.0,17.059999465942383
463938,1449.3699951171875,4326.080078125,100.0,False,False,False,0.0,0.0,0.0,0.0,-1201.419921875,2516.33984375,0.0,17.059999465942383
463940,1449.3699951171875,4326.080078125,100.0,False,False,False,0.0,0.0,0.0,0.0,-1201.419921875,2516.33984375,0.0,17.059999465942383
463942,1449.3699951171875,4326.080078125,100.0,False,False,False,0.0,0.0,0.0,0.0,-1201.419921875,2516.33984375,0.0,17.059999465942383
463944,1449.3699951171875,4326.080078125,100.0,False,False,False,0.0,0.0,0.0,0.0,-1201.419921875,2516.33984375,0.0,17.059999465942383
463946,1449.3699951171875,4326.080078125,100.0,False,False,False,0.0,0.0,0.0,0.0,-1201.419921875,2516.33984375,0.0,17.059999465942383
463948,1449.3699951171875,4326.080078125,100.0,False,False,False,0.0,0.0,0.0,0.0,-1201.419921875,2516.33984375,0.0,17.059999465942383
463950,1449.3699951171875,4326.080078125,100.0,False,False,False,0.0,0.0,0.0,0.0,-1201.419921875,2516.33984375,0.0,17.059999465942383
463952,1449.3699951171875,4326.080078125,100.0,False,False,False,0.0,0.0,0.0,0.0,-1201.419921875,2516.33984375,0.0,17.059999465942383
463954,1449.3699951171875,4326.080078125,100.0,False,False,False,0.0,0.0,0.0,0.0,-1201.419921875,2516.33984375,0.0,17.059999465942383
463956,1449.3699951171875,4326.080078125,100.0,False,False,False,0.0,0.0,0.0,0.0,-1201.419921875,2516.33984375,0.0,17.059999465942383
