ball_frame,ball_x,ball_y,ball_z,boost,handbrake,jump,pitch,roll,steer,throttle,x,y,yaw,z
285859,-3942.219970703125,3269.329833984375,1821.6199951171875,False,False,False,0.0,0.0,0.0,0.0,-731.4099731445312,5399.0,0.0,28.75
285861,-3942.219970703125,3269.329833984375,1821.6199951171875,False,False,False,0.0,0.0,0.0,0.0,-731.4099731445312,5399.0,0.0,28.75
285862,-3942.219970703125,3269.329833984375,1821.6199951171875,False,False,False,0.0,0.0,0.0,0.0,-731.4099731445312,5399.0,0.0,28.75
285864,-3942.219970703125,3269.329833984375,1821.6199951171875,False,False,False,0.0,0.0,0.0,0.0,-731.4099731445312,5399.0,0.0,28.75
285866,-3942.219970703125,3269.329833984375,1821.6199951171875,False,False,False,0.0,0.0,0.0,0.0,-731.4099731445312,5399.0,0.0,28.75
285868,-3942.219970703125,3269.329833984375,1821.6199951171875,False,False,False,0.0,0.0,0.0,0.0,-731.4099731445312,5399.0,0.0,28.75
285870,-3942.219970703125,3269.329833984375,1821.6199951171875,False,False,False,0.0,0.0,0.0,0.0,-731.4099731445312,5399.0,0.0,28.75
285872,-3942.219970703125,3269.329833984375,1821.6199951171875,False,False,False,0.0,0.0,0.0,0.0,-731.4099731445312,5399.0,0.0,28.75
285874,-3942.219970703125,3269.329833984375,1821.6199951171875,False,False,False,0.0,0.0,0.0,0.0,-731.4099731445312,5399.0,0.0,28.75
285876,-3942.219970703125,3269.329833984375,1821.6199951171875,False,False,False,0.0,0.0,0.0,0.0,-731.4099731445312,5399.0,0.0,28.75
285878,-3942.219970703125,3269.329833984375,1821.6199951171875,False,False,False,0.0,0.0,0.0,0.0,-731.4099731445312,5399.0,0.0,28.75
285880,-3942.219970703125,3269.329833984375,1821.6199951171875,False,False,False,0.0,0.0,0.0,0.0,-731.4099731445312,5399.0,0.0,28.75
285882,-3942.219970703125,3269.329833984375,1821.6199951171875,False,False,False,0.0,0.0,0.0,0.0,-731.4099731445312,5399.0,0.0,28.75
285884,-3942.219970703125,3269.329833984375,1821.6199951171875,False,False,False,0.0,0.0,0.0,0.0,-731.4099731445312,5399.0,0.0,28.75
285886,-3942.219970703125,3269.329833984375,1821.6199951171875,False,False,False,0.0,0.0,0.0,0.0,-731.4099731445312,5399.0,0.0,28.75
285888,-3942.219970703125,3269.329833984375,1821.6199951171875,False,False,False,0.0,0.0,0.0,0.0,-731.4099731445312,5399.0,0.0,28.75
285890,-3942.219970703125,3269.329833984375,1821.6199951171875,False,False,False,0.0,0.0,0.0,0.0,-731.4099731445312,5399.0,0.0,28.75
285891,-3942.219970703125,3269.329833984375,1821.6199951171875,False,False,False,0.0,0.0,0.0,-0.046875,-731.4099731445312,5399.0,0.0,28.75
285893,-3942.219970703125,3269.329833984375,1821.6199951171875,False,False,False,0.0,0.0,0.0,-0.2109375,-731.4099731445312,5399.0,0.0,28.75
285895,-3906.5,3303.219970703125,1791.6199951171875,False,False,False,0.0,0.0,0.0,-0.4140625,-731.4099731445312,5398.9697265625,0.0,28.75
285897,-3895.919921875,3337.08984375,1782.179931640625,False,False,False,0.0,0.0,0.0,-0.5234375,-731.4099731445312,5398.81982421875,0.0,28.75
285899,-3885.35986328125,3370.93994140625,1772.5699462890625,False,False,False,0.0,0.0,0.0,-0.65625,-731.4099731445312,5398.4697265625,0.0,28.739999771118164
285901,-3874.7998046875,3404.780029296875,1762.7799072265625,False,False,False,0.0,0.0,0.0,-0.890625,-731.4099731445312,5397.8701171875,0.0,28.719999313354492
285903,-3864.239990234375,3438.599853515625,1752.8199462890625,False,False,False,0.0,0.0,0.0,-0.890625,-731.4099731445312,5396.94970703125,0.0,28.689998626708984
285905,-3853.68994140625,3472.39990234375,1742.679931640625,False,False,False,0.0,0.0,0.0,-1.0,-731.4099731445312,5395.64990234375,0.0,28.649999618530273
