ball_frame,ball_x,ball_y,ball_z,x,y,z
4296,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4298,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4300,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4302,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4304,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4306,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4308,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4309,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4311,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4313,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4315,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4317,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4319,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4321,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4323,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4325,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4327,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4329,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4331,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4333,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4335,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4337,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
4338,-3318.7099609375,5589.2900390625,100.48999786376953,-517.3300170898438,3210.4599609375,17.059999465942383
